,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Total_Working_Days,Avg_Daily_Hours,Median_Daily_Hours,Std_Daily_Hours,Overtime_Days_8.5h,Overtime_Days_10h,Late_Arrival_Rate,Absence_Rate,Very_Early_Start_Rate,Early_Leave_Rate,Friday_Evening_Presence_Rate,Monday_Morning_Presence_Rate,Attrition_Num,Young_Stagnation,Avg_Work_Hours,Work_Intensity,Overtime_Flag,Distance_Bin,Age_Group,LongHours,Is_Young,LowIncome
10,45,No,1,Research & Development,17,2,Medical,11,Male,2,Laboratory Technician,Married,79910,0.0,13,2,21.0,2,20,4,10,2,3,3.0,4.0,3.0,241,8.403485477178425,8.416944444444445,0.3083233939116,83,0,0.028112449799196786,0.08032128514056225,0.0,0.0,0.1417624521072797,0.011494252873563218,0,0,7.080087844254511,0.8850109805318139,0,Loin (11-20km),>45,0,0,0
11,36,No,1,Research & Development,28,1,Life Sciences,12,Male,1,Laboratory Technician,Married,33770,0.0,12,2,16.0,2,15,10,11,3,3,3.0,4.0,3.0,241,7.06895458736745,7.029166666666667,0.30973383319804865,0,0,0.01606425702811245,0.08032128514056225,0.0,0.07228915662650602,0.0,0.0,0,0,8.403485477178425,1.050435684647303,0,Très loin (>20km),36-45,0,0,1
12,55,No,1,Research & Development,14,4,Life Sciences,13,Female,1,Sales Executive,Single,55380,0.0,17,0,37.0,2,36,4,13,3,3,4.0,1.0,3.0,229,9.301409509946627,9.33,0.28886323837076794,228,0,0.020080321285140562,0.1285140562248996,0.0,0.0,0.1724137931034483,0.0,0,0,7.06895458736745,0.8836193234209313,0,Loin (11-20km),>45,0,0,0
13,47,Yes,0,Research & Development,1,1,Medical,14,Male,1,Research Scientist,Married,57620,1.0,11,2,10.0,4,10,9,9,2,3,1.0,2.0,2.0,235,9.399931442080378,9.38888888888889,0.29226652785680385,235,7,0.04417670682730924,0.10441767068273092,0.0,0.0,0.17624521072796934,0.007662835249042145,1,0,9.301409509946627,1.1626761887433283,1,Très proche (0-2km),>45,1,0,0
14,28,No,1,Research & Development,1,3,Life Sciences,15,Male,1,Manufacturing Director,Married,25920,1.0,14,0,5.0,2,5,0,4,3,3,4.0,4.0,2.0,241,6.08968764407561,6.095,0.2897538656914085,0,0,0.03614457831325301,0.08032128514056225,0.0,0.8313253012048193,0.0,0.0038314176245210726,0,0,9.399931442080378,1.1749914302600473,1,Très proche (0-2km),26-35,1,1,1
15,37,No,1,Research & Development,1,3,Life Sciences,16,Male,2,Healthcare Representative,Married,53460,4.0,11,0,7.0,2,5,0,1,3,3,3.0,4.0,4.0,237,6.705174636661979,6.706388888888889,0.31725964327391604,0,0,0.020080321285140562,0.0963855421686747,0.0,0.30120481927710846,0.0,0.0038314176245210726,0,0,6.08968764407561,0.7612109555094513,0,Très proche (0-2km),36-45,0,0,0
16,21,No,1,Research & Development,3,2,Life Sciences,17,Male,1,Laboratory Technician,Single,42130,1.0,12,3,3.0,3,3,1,0,2,3,4.0,3.0,4.0,227,6.619040626529614,6.611666666666666,0.31396253642597743,0,0,0.024096385542168676,0.13654618473895583,0.0,0.2971887550200803,0.0,0.0038314176245210726,0,0,6.705174636661979,0.8381468295827473,0,Proche (3-10km),<25,0,1,1
17,37,No,0,Research & Development,1,3,Medical,18,Male,2,Sales Executive,Divorced,41270,2.0,13,1,15.0,2,5,0,2,3,3,1.0,4.0,3.0,246,11.014328139114726,11.01972222222222,0.3096964342975207,246,246,0.024096385542168676,0.060240963855421686,0.0,0.0,0.18007662835249041,0.0038314176245210726,0,0,6.619040626529614,0.8273800783162018,0,Très proche (0-2km),36-45,0,0,1
18,35,No,1,Sales,7,4,Life Sciences,19,Male,1,Sales Representative,Divorced,24380,7.0,16,0,10.0,5,7,6,2,2,3,2.0,2.0,2.0,232,6.960253831417625,6.948055555555555,0.314945915821745,0,0,0.008032128514056224,0.11646586345381527,0.0,0.14859437751004015,0.0,0.011494252873563218,0,0,11.014328139114726,1.3767910173893407,1,Proche (3-10km),36-45,1,0,1
19,38,No,1,Research & Development,8,3,Life Sciences,20,Female,1,Manager,Divorced,68700,1.0,11,1,8.0,5,8,7,7,3,3,1.0,1.0,3.0,231,9.293555796055795,9.295833333333333,0.2963884015180485,230,1,0.040160642570281124,0.12048192771084337,0.0,0.0,0.1685823754789272,0.011494252873563218,0,0,6.960253831417625,0.8700317289272032,0,Proche (3-10km),36-45,0,0,0
20,26,No,2,Research & Development,1,4,Other,21,Male,2,Laboratory Technician,Divorced,104470,1.0,18,0,6.0,3,6,1,4,3,3,3.0,2.0,1.0,232,7.590778256704982,7.584583333333333,0.317876322859857,0,0,0.028112449799196786,0.11646586345381527,0.0,0.0,0.034482758620689655,0.01532567049808429,0,0,9.293555796055795,1.1616944745069744,1,Très proche (0-2km),26-35,1,1,0
21,50,No,1,Sales,8,4,Life Sciences,22,Male,1,Research Scientist,Divorced,96670,3.0,23,0,28.0,2,10,1,6,2,4,1.0,2.0,2.0,233,6.008613495469718,6.0175,0.29300926732118104,0,0,0.008032128514056224,0.11244979919678715,0.0,0.8393574297188755,0.0,0.0038314176245210726,0,0,7.590778256704982,0.9488472820881227,0,Proche (3-10km),>45,0,0,0
22,53,No,1,Research & Development,11,4,Life Sciences,23,Female,2,Research Scientist,Married,21480,3.0,11,0,21.0,2,5,1,3,3,3,3.0,3.0,2.0,232,8.402108477011494,8.416666666666668,0.30298867053530126,80,0,0.0321285140562249,0.11646586345381527,0.0,0.0,0.13409961685823754,0.0038314176245210726,0,0,6.008613495469718,0.7510766869337148,0,Loin (11-20km),>45,0,0,1
23,42,No,1,Research & Development,4,4,Life Sciences,24,Male,1,Manufacturing Director,Married,89260,1.0,14,0,10.0,4,20,11,6,1,3,2.0,3.0,3.0,242,6.8070052800734615,6.802083333333334,0.3155869205724915,0,0,0.024096385542168676,0.07630522088353414,0.0,0.285140562248996,0.0,0.0038314176245210726,0,0,8.402108477011494,1.0502635596264367,0,Proche (3-10km),36-45,0,0,0
24,29,No,2,Research & Development,16,4,Medical,25,Male,1,Laboratory Technician,Single,65130,1.0,11,1,10.0,2,10,0,9,3,3,2.0,4.0,2.0,231,7.093167388167388,7.103055555555556,0.3219874360961485,0,0,0.012048192771084338,0.12048192771084337,0.0,0.08433734939759036,0.0,0.01532567049808429,0,0,6.8070052800734615,0.8508756600091827,0,Loin (11-20km),26-35,0,1,0
25,55,No,1,Research & Development,1,4,Other,26,Female,1,Research Scientist,Married,67990,3.0,11,0,12.0,2,10,0,8,3,3,2.0,4.0,3.0,241,9.362002074688798,9.337222222222222,0.2812382254202834,240,2,0.03614457831325301,0.08032128514056225,0.0,0.0,0.1724137931034483,0.0,0,0,7.093167388167388,0.8866459235209235,0,Très proche (0-2km),>45,0,0,0
26,26,No,2,Research & Development,9,3,Life Sciences,27,Female,1,Manager,Married,162910,1.0,22,0,5.0,3,5,3,3,3,4,1.0,1.0,3.0,239,10.977123430962344,10.999444444444444,0.2966332412542106,239,239,0.024096385542168676,0.08835341365461848,0.0,0.0,0.17624521072796934,0.007662835249042145,0,1,9.362002074688798,1.1702502593360997,1,Proche (3-10km),26-35,1,1,0
27,37,No,1,Sales,5,1,Marketing,28,Male,1,Research Scientist,Single,27050,1.0,11,0,17.0,2,17,5,7,3,3,4.0,4.0,3.0,236,7.604444444444445,7.612361111111111,0.29583577896635027,0,0,0.04417670682730924,0.10040160642570281,0.0,0.008032128514056224,0.038314176245210725,0.0,0,0,10.977123430962344,1.372140428870293,1,Proche (3-10km),36-45,1,0,1
28,44,Yes,2,Research & Development,1,2,Medical,29,Male,2,Research Scientist,Divorced,103330,3.0,14,1,19.0,2,1,0,0,2,3,4.0,3.0,1.0,243,10.97758573388203,10.98611111111111,0.311821460995057,243,243,0.020080321285140562,0.07228915662650602,0.0,0.0,0.17624521072796934,0.0,1,0,7.604444444444445,0.9505555555555556,0,Très proche (0-2km),36-45,0,0,0
29,38,No,1,Sales,2,3,Marketing,30,Female,1,Manager,Divorced,44480,9.0,12,0,10.0,3,2,1,2,2,3,4.0,4.0,3.0,230,6.8312753623188405,6.844722222222222,0.2816235668075111,0,0,0.028112449799196786,0.12449799196787148,0.0,0.22088353413654618,0.0,0.0038314176245210726,0,0,10.97758573388203,1.3721982167352538,1,Très proche (0-2km),36-45,1,0,1
30,26,Yes,1,Research & Development,4,3,Medical,31,Male,3,Research Scientist,Divorced,68540,2.0,11,0,5.0,5,3,0,2,2,3,1.0,2.0,3.0,238,10.109408263305323,10.100277777777778,0.3076482089710232,238,146,0.0321285140562249,0.09236947791164658,0.0,0.0,0.18007662835249041,0.01532567049808429,1,0,6.8312753623188405,0.8539094202898551,0,Proche (3-10km),26-35,0,1,0
31,28,No,1,Research & Development,7,3,Other,32,Male,1,Human Resources,Single,96370,1.0,13,0,5.0,6,5,0,2,2,3,4.0,4.0,3.0,242,6.709665977961433,6.737638888888888,0.2999596428160105,0,0,0.03614457831325301,0.07630522088353414,0.0,0.3413654618473896,0.0,0.011494252873563218,0,0,10.109408263305323,1.2636760329131653,1,Proche (3-10km),26-35,1,1,0
32,49,No,2,Research & Development,1,1,Medical,33,Female,2,Research Scientist,Single,35910,9.0,13,0,22.0,2,3,1,2,3,3,3.0,1.0,3.0,234,10.518214624881292,10.523472222222223,0.29884449644944855,234,223,0.0321285140562249,0.10843373493975904,0.0,0.0,0.1685823754789272,0.0038314176245210726,0,0,6.709665977961433,0.8387082472451791,0,Très proche (0-2km),>45,0,0,1
33,36,No,1,Sales,5,3,Technical Degree,34,Male,3,Sales Executive,Single,54050,4.0,14,0,10.0,2,8,7,7,3,3,3.0,2.0,3.0,243,6.182887517146776,6.186388888888889,0.27760267901505425,0,0,0.01606425702811245,0.07228915662650602,0.0,0.7911646586345381,0.0,0.0,0,0,10.518214624881292,1.3147768281101615,1,Proche (3-10km),36-45,1,0,0
34,31,No,2,Research & Development,9,4,Medical,35,Male,1,Sales Executive,Divorced,46840,1.0,16,1,2.0,4,2,2,2,3,3,4.0,2.0,2.0,240,6.586388888888888,6.6075,0.2984167125865237,0,0,0.0321285140562249,0.08433734939759036,0.0,0.357429718875502,0.0,0.0038314176245210726,0,0,6.182887517146776,0.772860939643347,0,Proche (3-10km),26-35,0,0,1
35,26,Yes,1,Research & Development,8,3,Medical,36,Male,2,Manager,Single,157870,1.0,12,2,8.0,5,8,7,4,3,3,4.0,4.0,3.0,232,10.272241379310346,10.300833333333333,0.3035182369118388,232,190,0.020080321285140562,0.11646586345381527,0.0,0.0,0.17624521072796934,0.0038314176245210726,1,1,6.586388888888888,0.823298611111111,0,Proche (3-10km),26-35,0,1,0
36,37,No,2,Sales,9,1,Marketing,37,Male,1,Laboratory Technician,Married,15140,1.0,14,0,4.0,3,4,1,2,3,3,2.0,4.0,2.0,242,9.982733011937558,9.991944444444444,0.2858516734525315,242,120,0.0321285140562249,0.07630522088353414,0.0,0.0,0.17624521072796934,0.0038314176245210726,0,0,10.272241379310346,1.2840301724137932,1,Proche (3-10km),36-45,1,0,1
37,42,No,2,Sales,2,2,Marketing,38,Male,3,Research Director,Married,29560,5.0,13,0,23.0,2,20,4,8,3,3,3.0,2.0,4.0,230,5.979567632850242,5.999027777777778,0.2972133732676858,0,0,0.028112449799196786,0.12449799196787148,0.0,0.8393574297188755,0.0,0.0038314176245210726,0,0,9.982733011937558,1.2478416264921948,1,Très proche (0-2km),36-45,1,0,1
38,18,Yes,1,Research & Development,1,4,Life Sciences,39,Male,1,Sales Executive,Single,23350,1.0,14,2,0.0,3,0,0,0,2,3,3.0,3.0,3.0,227,6.775967939304944,6.7780555555555555,0.2921177931173167,0,0,0.024096385542168676,0.13654618473895583,0.0,0.2248995983935743,0.0,0.011494252873563218,1,0,5.979567632850242,0.7474459541062802,0,Très proche (0-2km),<25,0,1,1
39,35,No,1,Sales,20,2,Life Sciences,40,Male,1,Laboratory Technician,Married,51540,0.0,19,0,12.0,2,11,6,9,2,3,3.0,2.0,2.0,239,7.690160390516039,7.716111111111111,0.3056256998247581,2,0,0.04819277108433735,0.08835341365461848,0.0,0.0,0.05747126436781609,0.007662835249042145,0,0,6.775967939304944,0.846995992413118,0,Loin (11-20km),36-45,0,0,0
40,36,No,2,Research & Development,8,3,Other,41,Female,3,Sales Executive,Married,69620,4.0,12,2,4.0,2,1,0,0,2,3,3.0,3.0,3.0,244,7.204732468123862,7.202500000000001,0.2845449299508924,0,0,0.03614457831325301,0.06827309236947791,0.0,0.040160642570281124,0.0038314176245210726,0.007662835249042145,0,0,7.690160390516039,0.9612700488145048,0,Proche (3-10km),36-45,0,0,0
41,51,No,1,Research & Development,2,3,Life Sciences,42,Male,2,Laboratory Technician,Divorced,56750,5.0,13,0,13.0,2,4,1,2,2,3,4.0,2.0,3.0,235,7.594769503546099,7.5936111111111115,0.30514299567200004,0,0,0.0321285140562249,0.10441767068273092,0.0,0.004016064257028112,0.03065134099616858,0.0,0,0,7.204732468123862,0.9005915585154828,0,Très proche (0-2km),>45,0,0,0
42,41,No,1,Research & Development,29,1,Life Sciences,43,Male,1,Laboratory Technician,Single,23790,1.0,12,0,22.0,6,22,0,4,3,3,4.0,2.0,3.0,242,6.95264233241506,6.964583333333334,0.3178550153173413,0,0,0.03614457831325301,0.07630522088353414,0.0,0.11646586345381527,0.0,0.007662835249042145,0,0,7.594769503546099,0.9493461879432624,0,Très loin (>20km),36-45,0,0,1
43,18,No,1,Sales,7,3,Life Sciences,44,Male,1,Research Scientist,Single,38120,1.0,15,0,0.0,3,0,0,0,3,3,4.0,3.0,3.0,240,7.008878472222222,7.019861111111111,0.3149531071288215,0,0,0.008032128514056224,0.08433734939759036,0.0,0.1285140562248996,0.0,0.011494252873563218,0,0,6.95264233241506,0.8690802915518825,0,Proche (3-10km),<25,0,1,1
44,28,No,1,Research & Development,9,3,Medical,45,Male,1,Sales Representative,Single,46480,0.0,23,2,9.0,2,8,0,7,2,4,2.0,1.0,3.0,244,7.201573315118397,7.214027777777778,0.29589456457123897,0,0,0.01606425702811245,0.06827309236947791,0.0,0.03614457831325301,0.0,0.0038314176245210726,0,0,7.008878472222222,0.8761098090277778,0,Proche (3-10km),26-35,0,1,1
45,31,No,1,Research & Development,8,1,Technical Degree,46,Male,1,Manufacturing Director,Married,29360,4.0,12,1,10.0,2,8,7,7,3,3,2.0,4.0,2.0,240,7.1728749999999994,7.170972222222222,0.30817033367282526,0,0,0.03614457831325301,0.08433734939759036,0.0,0.04819277108433735,0.007662835249042145,0.0038314176245210726,0,0,7.201573315118397,0.9001966643897996,0,Proche (3-10km),26-35,0,0,1
46,39,No,1,Sales,5,4,Marketing,47,Female,2,Human Resources,Divorced,21050,0.0,20,0,19.0,3,18,3,7,3,4,3.0,4.0,2.0,235,7.636801418439717,7.626111111111111,0.3116720861036219,0,0,0.012048192771084338,0.10441767068273092,0.0,0.0,0.02681992337164751,0.011494252873563218,0,0,7.1728749999999994,0.8966093749999999,0,Proche (3-10km),36-45,0,0,1
47,36,No,0,Research & Development,5,4,Life Sciences,48,Male,1,Sales Executive,Married,85780,7.0,21,0,11.0,4,9,0,8,3,4,2.0,2.0,3.0,237,7.83278129395218,7.855277777777777,0.2961809089177023,3,0,0.04819277108433735,0.0963855421686747,0.0,0.0,0.07662835249042145,0.011494252873563218,0,0,7.636801418439717,0.9546001773049646,0,Proche (3-10km),36-45,0,0,0
48,32,No,1,Sales,2,3,Marketing,49,Male,2,Laboratory Technician,Married,27060,1.0,21,1,13.0,4,13,4,8,3,4,4.0,3.0,2.0,227,6.974765051395007,6.964444444444444,0.3119167284795888,0,0,0.03614457831325301,0.13654618473895583,0.0,0.11244979919678715,0.0,0.01532567049808429,0,0,7.83278129395218,0.9790976617440225,0,Très proche (0-2km),26-35,0,0,1
49,38,No,1,Research & Development,5,2,Life Sciences,50,Female,3,Research Scientist,Married,63840,3.0,19,2,19.0,4,10,0,1,2,3,1.0,2.0,3.0,228,6.906424220272905,6.905277777777778,0.28961518777707396,0,0,0.03614457831325301,0.13253012048192772,0.0,0.14859437751004015,0.0,0.0038314176245210726,0,0,6.974765051395007,0.8718456314243759,0,Proche (3-10km),36-45,0,0,0
50,58,No,0,Research & Development,2,3,Life Sciences,51,Male,2,Manufacturing Director,Divorced,39680,2.0,13,2,12.0,3,5,1,2,2,3,4.0,3.0,3.0,242,10.895463728191,10.899861111111111,0.30420544569324187,242,241,0.028112449799196786,0.07630522088353414,0.0,0.0,0.18007662835249041,0.007662835249042145,0,0,6.906424220272905,0.8633030275341131,0,Très proche (0-2km),>45,0,0,1
51,31,No,1,Research & Development,20,1,Technical Degree,52,Female,3,Research Scientist,Married,99070,0.0,13,1,6.0,3,5,0,3,2,3,3.0,4.0,3.0,237,9.125665729020158,9.104444444444445,0.30316557211889955,235,0,0.020080321285140562,0.0963855421686747,0.0,0.0,0.17624521072796934,0.0038314176245210726,0,0,10.895463728191,1.361932966023875,1,Loin (11-20km),26-35,1,0,0
52,31,No,1,Sales,7,4,Marketing,53,Male,2,Sales Executive,Married,132250,3.0,21,1,9.0,2,2,1,0,3,4,1.0,1.0,3.0,239,6.831459786145978,6.8372222222222225,0.27906181250549916,0,0,0.0321285140562249,0.08835341365461848,0.0,0.2248995983935743,0.0,0.011494252873563218,0,0,9.125665729020158,1.1407082161275197,1,Proche (3-10km),26-35,1,0,0
53,45,No,2,Research & Development,3,1,Medical,54,Female,1,Sales Executive,Divorced,35400,1.0,13,0,24.0,6,24,9,11,3,3,1.0,1.0,3.0,236,7.3160499058380415,7.287777777777778,0.3104232425048926,0,0,0.020080321285140562,0.10040160642570281,0.0,0.024096385542168676,0.019157088122605363,0.011494252873563218,0,0,6.831459786145978,0.8539324732682473,0,Proche (3-10km),>45,0,0,1
54,31,No,1,Sales,16,4,Marketing,55,Female,2,Research Scientist,Divorced,28040,0.0,19,2,3.0,0,2,2,2,3,3,3.0,4.0,1.0,244,8.610798041894354,8.613472222222223,0.311583892199974,162,0,0.01606425702811245,0.06827309236947791,0.0,0.0,0.1724137931034483,0.0038314176245210726,0,0,7.3160499058380415,0.9145062382297552,0,Loin (11-20km),26-35,0,0,1
55,33,No,2,Research & Development,9,3,Life Sciences,56,Male,4,Research Director,Married,193920,6.0,12,1,12.0,3,10,8,8,3,3,4.0,2.0,3.0,237,6.784845288326301,6.789722222222222,0.2950064383650507,0,0,0.024096385542168676,0.0963855421686747,0.0,0.23694779116465864,0.0,0.011494252873563218,0,0,8.610798041894354,1.0763497552367942,1,Proche (3-10km),26-35,0,0,0
56,39,No,1,Sales,1,4,Life Sciences,57,Male,1,Sales Executive,Married,196650,1.0,22,1,21.0,6,21,11,10,3,4,3.0,1.0,3.0,245,10.986099773242628,10.993333333333334,0.3159426398769554,245,245,0.040160642570281124,0.0642570281124498,0.0,0.0,0.1839080459770115,0.007662835249042145,0,0,6.784845288326301,0.8481056610407877,0,Très proche (0-2km),36-45,0,0,0
57,43,No,2,Research & Development,7,4,Medical,58,Male,4,Research Scientist,Single,24390,0.0,15,0,9.0,2,8,1,7,3,3,3.0,4.0,3.0,227,7.68658467939305,7.688888888888889,0.3027352732521384,1,0,0.020080321285140562,0.13654618473895583,0.0,0.0,0.034482758620689655,0.0038314176245210726,0,0,10.986099773242628,1.3732624716553286,1,Proche (3-10km),36-45,1,0,1
58,49,No,1,Research & Development,1,3,Life Sciences,59,Male,3,Manufacturing Director,Single,73140,7.0,22,0,25.0,2,7,0,7,3,4,3.0,3.0,3.0,243,9.948856881572931,9.976111111111111,0.31319429085940464,243,109,0.024096385542168676,0.07228915662650602,0.0,0.0,0.17624521072796934,0.0,0,0,7.68658467939305,0.9608230849241313,0,Très proche (0-2km),>45,0,0,0
59,52,Yes,1,Research & Development,7,1,Life Sciences,60,Female,2,Research Scientist,Married,47740,2.0,18,1,11.0,2,8,7,7,3,3,3.0,2.0,2.0,239,7.9055276615527665,7.898611111111111,0.312018951040719,8,0,0.020080321285140562,0.08835341365461848,0.0,0.0,0.04980842911877394,0.0038314176245210726,1,0,9.948856881572931,1.2436071101966164,1,Proche (3-10km),>45,1,0,1
60,27,No,1,Research & Development,15,4,Medical,61,Male,3,Research Scientist,Single,39020,1.0,22,0,4.0,2,4,1,2,3,4,3.0,2.0,2.0,244,10.672414617486337,10.667916666666667,0.30162828552207793,244,243,0.040160642570281124,0.06827309236947791,0.0,0.0,0.17624521072796934,0.0038314176245210726,0,0,7.9055276615527665,0.9881909576940958,0,Loin (11-20km),26-35,0,1,1
61,32,No,1,Research & Development,1,3,Life Sciences,62,Male,3,Research Scientist,Married,26620,1.0,11,1,13.0,6,13,11,9,4,3,3.0,2.0,3.0,239,10.496171548117156,10.4875,0.2915206454350033,239,230,0.040160642570281124,0.08835341365461848,0.0,0.0,0.17624521072796934,0.0,0,0,10.672414617486337,1.3340518271857922,1,Très proche (0-2km),26-35,1,0,1
62,27,No,1,Research & Development,13,2,Medical,63,Female,4,Research Director,Single,28560,1.0,12,2,5.0,5,5,0,4,4,3,4.0,3.0,3.0,231,10.069261664261665,10.061666666666667,0.31270897252420343,231,135,0.028112449799196786,0.12048192771084337,0.0,0.0,0.16475095785440613,0.011494252873563218,0,0,10.496171548117156,1.3120214435146444,1,Loin (11-20km),26-35,1,1,1
63,31,No,1,Sales,24,3,Life Sciences,64,Male,2,Healthcare Representative,Divorced,10810,4.0,11,3,13.0,4,7,1,7,4,3,4.0,4.0,3.0,243,6.607014174668495,6.6125,0.29476917057123964,0,0,0.03614457831325301,0.07228915662650602,0.0,0.39357429718875503,0.0,0.0038314176245210726,0,0,10.069261664261665,1.2586577080327082,1,Très loin (>20km),26-35,1,0,1
64,32,No,1,Research & Development,7,3,Technical Degree,65,Male,2,Healthcare Representative,Single,24720,7.0,13,0,10.0,2,7,0,7,3,3,1.0,4.0,2.0,237,7.497914908579466,7.505833333333333,0.2832914658104325,0,0,0.04417670682730924,0.0963855421686747,0.0,0.004016064257028112,0.019157088122605363,0.007662835249042145,0,0,6.607014174668495,0.8258767718335619,0,Proche (3-10km),26-35,0,0,1
65,28,Yes,1,Research & Development,9,4,Medical,66,Male,1,Sales Executive,Married,56730,5.0,14,1,5.0,4,3,2,2,2,3,1.0,4.0,2.0,247,10.727235717498877,10.738611111111112,0.2729194524850313,247,245,0.0321285140562249,0.05622489959839357,0.0,0.0,0.1839080459770115,0.007662835249042145,1,0,7.497914908579466,0.9372393635724332,0,Proche (3-10km),26-35,0,1,0
